Td	ID	Tj	Df	Dd	Db
257	734	255	1	1	2
257	573	202	0	55	55
258	738	258	0	0	0
258	739	258	0	0	0
259	736	258	0	1	1
259	740	258	0	1	1
259	741	258	0	1	1
259	742	258	0	1	1
259	737	258	0	1	1
264	747	264	0	0	0
264	748	264	0	0	0
264	743	264	0	0	0
264	746	264	0	0	0
265	756	265	0	0	0
265	745	264	0	1	1
265	749	264	0	1	1
266	750	265	0	1	1
266	752	265	0	1	1
266	753	265	0	1	1
266	754	265	0	1	1
266	744	264	0	2	2
266	751	265	0	1	1
266	755	265	0	1	1
268	763	268	0	0	0
269	760	268	1	0	1
269	758	268	0	1	1
269	716	251	4	14	18
269	648	223	0	46	46
269	762	268	0	1	1
269	759	268	0	1	1
271	776	271	0	0	0
271	598	210	0	61	61
271	608	212	0	59	59
271	652	228	0	43	43
271	764	270	0	1	1
271	765	270	0	1	1
271	771	271	0	0	0
272	779	272	0	0	0
272	782	272	0	0	0
273	770	270	1	2	3
273	683	241	0	32	32
273	766	270	0	3	3
273	767	270	0	3	3
273	772	271	1	1	2
274	768	270	2	2	4
274	717	251	1	22	23
274	570	202	0	72	72
274	761	268	0	6	6
274	636	219	0	55	55
274	769	270	1	3	4
274	778	272	1	1	2
275	784	272	1	2	3
275	773	271	1	3	4
275	783	272	1	2	3
280	786	279	0	1	1
280	787	279	0	1	1
280	788	279	0	1	1
280	789	279	0	1	1
280	785	279	0	1	1
280	798	280	0	0	0
281	792	280	0	1	1
281	796	280	0	1	1
281	797	280	0	1	1
281	790	279	0	2	2
282	795	280	0	2	2
283	802	283	0	0	0
283	801	283	0	0	0
284	803	283	0	1	1
284	805	283	0	1	1
284	799	283	0	1	1
284	800	283	0	1	1
285	774	271	1	13	14
298	810	298	0	0	0
299	807	298	0	1	1
299	808	298	0	1	1
299	804	283	0	16	16
299	781	272	1	26	27
300	614	214	0	86	86
300	813	300	0	0	0
300	815	300	0	0	0
300	817	300	0	0	0
300	819	300	0	0	0
301	822	301	0	0	0
301	816	300	0	1	1
302	821	301	0	1	1
302	825	301	0	1	1
302	820	301	0	1	1
302	806	298	0	4	4
302	818	300	0	2	2
303	827	303	0	0	0
303	631	219	0	84	84
303	823	301	0	2	2
